ID,Country,Region,Happiness Rank,Happiness Score
135,Mali,Sub-Saharan Africa,135,4.073
136,Haiti,Latin America and Caribbean,136,4.028
137,Botswana,Sub-Saharan Africa,137,3.974
138,Comoros,Sub-Saharan Africa,138,3.956
139,Ivory Coast,Sub-Saharan Africa,139,3.916
140,Cambodia,Southeastern Asia,140,3.907
141,Angola,Sub-Saharan Africa,141,3.866
142,Niger,Sub-Saharan Africa,142,3.856
143,South Sudan,Sub-Saharan Africa,143,3.832
144,Chad,Sub-Saharan Africa,144,3.763
145,Burkina Faso,Sub-Saharan Africa,145,3.739
146,Uganda,Sub-Saharan Africa,145,3.739
147,Yemen,Middle East and Northern Africa,147,3.724
148,Madagascar,Sub-Saharan Africa,148,3.695
149,Tanzania,Sub-Saharan Africa,149,3.666
150,Liberia,Sub-Saharan Africa,150,3.622
151,Guinea,Sub-Saharan Africa,151,3.607
152,Rwanda,Sub-Saharan Africa,152,3.515
153,Benin,Sub-Saharan Africa,153,3.484
154,Afghanistan,Southern Asia,154,3.36
155,Togo,Sub-Saharan Africa,155,3.303
156,Syria,Middle East and Northern Africa,156,3.069
157,Burundi,Sub-Saharan Africa,157,2.905
